post_date,description,views,likes,comments,shares,watch_time,duration
2026-01-01,New keyboard review,12450,980,47,32,22,35
2026-01-02,Python tips for beginners,48200,4100,215,380,18,25
2026-01-03,My desk setup tour,8730,610,28,15,31,45
2026-01-04,How I study data science,35600,2870,162,210,26,40
2026-01-05,Terminal tricks you need,41500,3540,198,295,20,30
2026-01-06,Best apps for productivity,1250,85,6,3,14,22
2026-01-07,Linux vs macOS for coding,27800,2200,134,175,24,38
2026-01-08,VS Code extensions I use daily,19400,1520,89,110,19,28
2026-01-09,Mechanical keyboard sounds ASMR,6200,430,22,18,28,42
2026-01-10,Git commands every dev should know,32100,2650,148,230,17,26
2026-01-11,What is in my coding backpack,780,52,4,2,25,37
2026-01-12,SQL query optimization tricks,15300,1180,72,95,21,32
2026-01-13,Day in the life of a data student,43700,3780,205,340,30,48
2026-01-14,Raspberry Pi home server setup,9800,720,38,45,33,50
2026-01-15,Chrome DevTools hidden features,22600,1840,108,140,16,24
